date,open,high,low,close,volume
2024-05-21 09:52:00,212.158,212.25,212.04,212.04,5495
2024-05-21 09:53:00,211.99,212.145,211.99,212.145,1002
2024-05-21 09:54:00,212.01,212.01,211.98,211.98,400
2024-05-21 09:55:00,211.98,212.25,211.98,212.2,3827
2024-05-21 09:56:00,212.11,212.11,211.93,211.93,1088
2024-05-21 09:57:00,211.98,212.08,211.98,212.065,1000
2024-05-21 09:59:00,211.95,211.95,211.74,211.81,1400
2024-05-21 10:00:00,211.71,211.74,211.71,211.74,200
2024-05-21 10:01:00,211.8,211.8,211.71,211.71,426
2024-05-21 10:02:00,212.01,212.01,211.73,211.73,300
2024-05-21 10:03:00,211.72,211.87,211.71,211.87,300
2024-05-21 10:04:00,211.73,211.875,211.71,211.875,800
2024-05-21 10:05:00,211.88,212.12,211.76,212.12,1779
2024-05-21 10:06:00,212.075,212.25,212.0,212.0,1782
2024-05-21 10:07:00,212.08,212.12,212.08,212.12,900
2024-05-21 10:08:00,212.12,212.12,211.99,211.99,1100
2024-05-21 10:09:00,211.99,212.05,211.91,212.05,1275
2024-05-21 10:10:00,212.065,212.065,211.79,211.79,4445
2024-05-21 10:11:00,211.79,211.85,211.75,211.85,687
2024-05-21 10:12:00,211.735,211.92,211.735,211.85,1880
2024-05-21 10:13:00,211.96,211.96,211.855,211.855,600
2024-05-21 10:14:00,211.96,212.05,211.95,211.985,1217
2024-05-21 10:15:00,211.985,212.11,211.985,212.04,2000
2024-05-21 10:16:00,211.9,212.14,211.9,212.14,400
2024-05-21 10:17:00,212.19,212.2,212.04,212.04,1052
2024-05-21 10:18:00,211.97,212.05,211.97,212.05,300
2024-05-21 10:21:00,211.95,211.95,211.75,211.75,5629
2024-05-21 10:22:00,211.935,212.08,211.83,211.83,402
2024-05-21 10:23:00,211.83,211.845,211.771,211.771,399
2024-05-21 10:25:00,211.75,211.75,211.71,211.71,570
2024-05-21 10:26:00,211.83,211.83,211.75,211.75,814
2024-05-21 10:27:00,211.835,211.835,211.835,211.835,100
2024-05-21 10:28:00,211.75,211.9999,211.75,211.79,10886
2024-05-21 10:30:00,211.99,211.99,211.77,211.77,300
2024-05-21 10:31:00,211.905,211.905,211.845,211.845,200
2024-05-21 10:32:00,211.845,211.845,211.845,211.845,200
2024-05-21 10:33:00,211.815,211.89,211.76,211.76,1507
2024-05-21 10:34:00,211.76,211.89,211.76,211.84,2920
2024-05-21 10:35:00,211.87,212.0,211.87,212.0,1000
2024-05-21 10:36:00,211.93,211.935,211.93,211.935,200
2024-05-21 10:37:00,211.935,212.02,211.83,211.945,1336
2024-05-21 10:38:00,211.95,211.955,211.95,211.955,600
2024-05-21 10:39:00,211.96,211.96,211.87,211.87,1400
2024-05-21 10:40:00,211.9,211.945,211.87,211.87,900
2024-05-21 10:41:00,211.86,211.895,211.75,211.8,4488
2024-05-21 10:42:00,211.765,211.765,211.765,211.765,100
2024-05-21 10:43:00,211.82,211.82,211.735,211.735,500
2024-05-21 10:44:00,211.765,211.86,211.75,211.86,1100
2024-05-21 10:45:00,211.815,211.815,211.815,211.815,100
2024-05-21 10:46:00,211.8411,211.8411,211.75,211.75,350
2024-05-21 10:47:00,211.795,211.85,211.795,211.84,400
2024-05-21 10:48:00,211.85,211.85,211.85,211.85,200
2024-05-21 10:49:00,211.84,211.865,211.78,211.865,1500
2024-05-21 10:50:00,211.82,211.855,211.75,211.75,2560
2024-05-21 10:51:00,211.74,211.74,211.74,211.74,200
2024-05-21 10:52:00,211.71,211.71,211.65,211.65,700
2024-05-21 10:53:00,211.66,211.66,211.56,211.595,651
2024-05-21 10:54:00,211.58,211.68,211.53,211.65,1938
2024-05-21 10:55:00,211.63,211.63,211.6,211.6,331
2024-05-21 10:57:00,211.6,211.6,211.53,211.53,400
2024-05-21 10:58:00,211.53,211.58,211.5,211.5,700
2024-05-21 10:59:00,211.45,211.52,211.445,211.445,556
2024-05-21 11:00:00,211.44,211.44,211.31,211.31,600
2024-05-21 11:01:00,211.29,211.29,211.29,211.29,100
2024-05-21 11:02:00,211.3,211.38,211.3,211.38,300
2024-05-21 11:03:00,211.32,211.32,211.32,211.32,100
2024-05-21 11:04:00,211.37,211.37,211.37,211.37,200
2024-05-21 11:05:00,211.37,211.44,211.33,211.37,1200
2024-05-21 11:06:00,211.39,211.39,211.39,211.39,100
2024-05-21 11:07:00,211.47,211.51,211.42,211.42,1100
2024-05-21 11:08:00,211.5482,211.5482,211.495,211.495,325
2024-05-21 11:09:00,211.42,211.475,211.42,211.475,300
2024-05-21 11:10:00,211.445,211.48,211.435,211.455,1000
